trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
L5AW4,08:25:00,08:25:00,CDJI,28,0
L5AW5,09:00:00,,CDJI,1,0
L5AW5,09:01:00,09:01:00,R8D,2,0
L5AW5,09:01:30,09:01:30,RBA,3,0
L5AW5,09:02:00,09:02:00,RSA,4,0
L5AW5,09:03:00,09:03:00,RSIA,5,0
L5AW5,09:04:00,09:04:00,RV2A,6,0
L5AW5,09:05:00,09:05:00,CA,7,0
L5AW5,09:06:00,09:06:00,RV1A,8,0
L5AW5,09:07:00,09:07:00,GCCA,9,0
L5AW5,09:09:00,09:09:00,IEA,10,0
L5AW5,09:10:00,09:10:00,FE,11,0
L5AW5,09:11:00,09:11:00,EC,12,0
L5AW5,09:12:00,09:12:00,ELCB,13,0
L5AW5,09:13:00,09:13:00,EJMA,14,0
L5AW5,09:14:00,09:14:00,VEA,15,0
L5AW5,09:15:00,09:15:00,RLGC,16,0
L5AW5,09:16:00,09:16:00,ADLPCTTB,17,0
L5AW5,09:17:30,09:17:30,ADLPOB,18,0
L5AW5,09:19:00,09:19:00,ADLPCB,19,0
L5AW5,09:21:00,09:21:00,C10M,20,0
L5AW5,09:23:00,09:23:00,ASJB,21,0
L5AW5,09:25:00,09:25:00,HUA,22,0
L5AW5,09:26:00,09:26:00,AUA,23,0
L5AW5,09:27:00,09:27:00,ISCAUAA,24,0
L5AW5,09:28:00,09:28:00,RNSA,25,0
L5AW5,09:29:00,09:29:00,ES,26,0
L5AW6,08:25:00,,ROUS,1,0
L5AW6,08:26:00,08:26:00,MS,2,0
L5AW6,08:27:00,08:27:00,RNSB,3,0
L5AW6,08:28:00,08:28:00,ISCAUAB,4,0
L5AW6,08:29:00,08:29:00,AUB,5,0
L5AW6,08:30:00,08:30:00,HUB,6,0
L5AW6,08:32:00,08:32:00,ASJA,7,0
L5AW6,08:34:00,08:34:00,C10S,8,0
L5AW6,08:35:00,08:35:00,F,9,0
L5AW6,08:36:00,08:36:00,ADLPCA,10,0
L5AW6,08:37:30,08:37:30,ADLPOA,11,0
L5AW6,08:39:00,08:39:00,ADLPCTTA,12,0
L5AW6,08:40:00,08:40:00,EA,13,0
L5AW6,08:42:00,08:42:00,RV,14,0
L5AW6,08:43:00,08:43:00,VEB,15,0
L5AW6,08:44:00,08:44:00,EJMB,16,0
L5AW6,08:45:00,08:45:00,ELCA,17,0
L5AW6,08:45:30,08:45:30,EP,18,0
L5AW6,08:46:00,08:46:00,IEB,19,0
L5AW6,08:48:00,08:48:00,GCCB,20,0
L5AW6,08:49:00,08:49:00,RV1B,21,0
L5AW6,08:50:00,08:50:00,CB,22,0
L5AW6,08:51:00,08:51:00,RV2B,23,0
L5AW6,08:52:00,08:52:00,RSIB,24,0
L5AW6,08:53:00,08:53:00,RSB,25,0
L5AW6,08:53:30,08:53:30,RBB,26,0
L5AW6,08:54:00,08:54:00,RM,27,0
L5AW6,08:55:00,08:55:00,CDJI,28,0
